,time,delay
147,2023-07-19 12:51:01,25.335
148,2023-07-19 12:52:00,14.438
149,2023-07-19 12:53:00,10.214
150,2023-07-19 12:54:00,22.02
151,2023-07-19 12:55:00,11.309
152,2023-07-19 12:56:01,8.492
153,2023-07-19 12:57:00,20.033
154,2023-07-19 12:58:00,8.336
155,2023-07-19 12:59:00,13.748
156,2023-07-19 13:00:01,12.799
157,2023-07-19 13:01:00,17.072
158,2023-07-19 13:02:00,28.757
159,2023-07-19 13:03:00,11.639
160,2023-07-19 13:04:00,20.408
161,2023-07-19 13:05:00,15.032
162,2023-07-19 13:06:00,24.569
163,2023-07-19 13:07:00,12.927
164,2023-07-19 13:08:00,12.207
165,2023-07-19 13:09:00,13.521
166,2023-07-19 13:10:01,18.566
167,2023-07-19 13:11:00,8.744
168,2023-07-19 13:12:00,8.455
169,2023-07-19 13:13:00,10.066
170,2023-07-19 13:14:00,33.787
171,2023-07-19 13:15:01,16.039
172,2023-07-19 13:16:00,10.408
173,2023-07-19 13:17:00,21.784
174,2023-07-19 13:18:00,13.456
175,2023-07-19 13:19:00,15.56
176,2023-07-19 13:20:00,12.597
177,2023-07-19 13:21:01,8.233
178,2023-07-19 13:22:00,8.813
179,2023-07-19 13:23:00,12.178
180,2023-07-19 13:24:00,8.025
181,2023-07-19 13:25:00,8.971
182,2023-07-19 13:26:00,12.117
183,2023-07-19 13:27:00,8.922
184,2023-07-19 13:28:00,10.956
185,2023-07-19 13:29:00,10.213
186,2023-07-19 13:30:00,11.468
187,2023-07-19 13:31:00,19.248
188,2023-07-19 13:32:00,8.068
189,2023-07-19 13:33:00,11.516
190,2023-07-19 13:34:00,54.483
191,2023-07-19 13:35:00,8.602
192,2023-07-19 13:36:00,11.127
193,2023-07-19 13:37:00,9.727
194,2023-07-19 13:38:00,9.87
195,2023-07-19 13:39:00,10.036
196,2023-07-19 13:40:01,8.493
197,2023-07-19 13:41:00,9.349
198,2023-07-19 13:42:00,12.953
199,2023-07-19 13:43:00,16.644
200,2023-07-19 13:44:01,9.507
201,2023-07-19 13:45:00,10.717
202,2023-07-19 13:46:00,12.551
203,2023-07-19 13:47:00,18.41
204,2023-07-19 13:48:00,8.618
205,2023-07-19 13:49:00,14.819
206,2023-07-19 13:50:01,8.983
207,2023-07-19 13:51:00,12.285
208,2023-07-19 13:52:00,8.176
209,2023-07-19 13:53:00,8.39
210,2023-07-19 13:54:00,9.648
211,2023-07-19 13:55:00,17.54
212,2023-07-19 13:56:00,10.908
213,2023-07-19 13:57:01,11.501
214,2023-07-19 13:58:00,9.255
215,2023-07-19 13:59:00,7.944
216,2023-07-19 14:00:00,8.946
217,2023-07-19 14:01:00,9.195
218,2023-07-19 14:02:00,8.965
219,2023-07-19 14:03:00,11.169
220,2023-07-19 14:04:01,27.769
221,2023-07-19 14:05:00,14.037
222,2023-07-19 14:06:00,25.503
223,2023-07-19 14:07:00,8.222
224,2023-07-19 14:08:00,8.685
225,2023-07-19 14:09:00,11.777
